# nb. dgammadot0 x1 x2 x3 length width thickness strike dip
231 10000000 20 0 10 20 12.9269 20 0 90
232 10000000 20 20 10 20 12.0384 20 0 90
233 10000000 20 40 10 20 12.2801 20 0 90
234 10000000 20 60 10 20 12.7399 20 0 90
235 10000000 20 80 10 20 13.0885 20 0 90
236 10000000 20 100 10 20 13.59 20 0 90
237 10000000 20 120 10 20 14.3041 20 0 90
238 10000000 20 140 10 20 14.8339 20 0 90
239 10000000 20 160 10 20 15.0511 20 0 90
240 10000000 20 180 10 20 15.2347 20 0 90
241 10000000 40 -200 10 20 15.6634 20 0 90
242 10000000 40 -180 10 20 18.4742 20 0 90
243 10000000 40 -160 10 20 21.668 20 0 90
244 10000000 40 -140 10 20 23.8331 20 0 90
245 10000000 40 -120 10 20 24.2717 20 0 90
246 10000000 40 -100 10 20 22.3232 20 0 90
247 10000000 40 -80 10 20 19.5668 20 0 90
248 10000000 40 -60 10 20 17.7376 20 0 90
249 10000000 40 -40 10 20 16.3296 20 0 90
250 10000000 40 -20 10 20 14.3465 20 0 90
251 10000000 40 0 10 20 12.6077 20 0 90
252 10000000 40 20 10 20 12.2369 20 0 90
253 10000000 40 40 10 20 13.0054 20 0 90
254 10000000 40 60 10 20 13.7865 20 0 90
255 10000000 40 80 10 20 14.0413 20 0 90
256 10000000 40 100 10 20 14.2354 20 0 90
257 10000000 40 120 10 20 14.776 20 0 90
258 10000000 40 140 10 20 15.3284 20 0 90
259 10000000 40 160 10 20 15.6102 20 0 90
260 10000000 40 180 10 20 15.7655 20 0 90
261 10000000 60 -200 10 20 15.8291 20 0 90
262 10000000 60 -180 10 20 19.7454 20 0 90
263 10000000 60 -160 10 20 23.5599 20 0 90
264 10000000 60 -140 10 20 25.1582 20 0 90
265 10000000 60 -120 10 20 23.3764 20 0 90
266 10000000 60 -100 10 20 19.0198 20 0 90
267 10000000 60 -80 10 20 15.0267 20 0 90
268 10000000 60 -60 10 20 13.7019 20 0 90
269 10000000 60 -40 10 20 13.7478 20 0 90
270 10000000 60 -20 10 20 13.3501 20 0 90
271 10000000 60 0 10 20 12.5593 20 0 90
272 10000000 60 20 10 20 12.5494 20 0 90
273 10000000 60 40 10 20 13.4934 20 0 90
274 10000000 60 60 10 20 14.3424 20 0 90
275 10000000 60 80 10 20 14.5339 20 0 90
276 10000000 60 100 10 20 14.635 20 0 90
277 10000000 60 120 10 20 15.1596 20 0 90
278 10000000 60 140 10 20 15.8217 20 0 90
279 10000000 60 160 10 20 16.2532 20 0 90
280 10000000 60 180 10 20 16.4363 20 0 90
281 10000000 80 -200 10 20 17.8243 20 0 90
282 10000000 80 -180 10 20 22.3343 20 0 90
283 10000000 80 -160 10 20 25.4789 20 0 90
284 10000000 80 -140 10 20 25.8745 20 0 90
285 10000000 80 -120 10 20 23.0371 20 0 90
286 10000000 80 -100 10 20 18.0622 20 0 90
287 10000000 80 -80 10 20 13.8493 20 0 90
288 10000000 80 -60 10 20 12.3762 20 0 90
289 10000000 80 -40 10 20 12.6493 20 0 90
290 10000000 80 -20 10 20 12.9383 20 0 90
291 10000000 80 0 10 20 12.7874 20 0 90
292 10000000 80 20 10 20 12.8939 20 0 90
293 10000000 80 40 10 20 13.5575 20 0 90
294 10000000 80 60 10 20 14.188 20 0 90
295 10000000 80 80 10 20 14.4169 20 0 90
296 10000000 80 100 10 20 14.7903 20 0 90
297 10000000 80 120 10 20 15.5454 20 0 90
298 10000000 80 140 10 20 16.3232 20 0 90
299 10000000 80 160 10 20 16.8442 20 0 90
300 10000000 80 180 10 20 17.0166 20 0 90
301 10000000 100 -200 10 20 20.106 20 0 90
302 10000000 100 -180 10 20 23.9644 20 0 90
303 10000000 100 -160 10 20 25.6299 20 0 90
304 10000000 100 -140 10 20 25.0032 20 0 90
305 10000000 100 -120 10 20 22.3075 20 0 90
306 10000000 100 -100 10 20 18.299 20 0 90
307 10000000 100 -80 10 20 14.846 20 0 90
308 10000000 100 -60 10 20 13.1411 20 0 90
309 10000000 100 -40 10 20 12.91 20 0 90
310 10000000 100 -20 10 20 13.2081 20 0 90
311 10000000 100 0 10 20 13.3669 20 0 90
312 10000000 100 20 10 20 13.5236 20 0 90
313 10000000 100 40 10 20 13.844 20 0 90
314 10000000 100 60 10 20 14.0868 20 0 90
315 10000000 100 80 10 20 14.3115 20 0 90
316 10000000 100 100 10 20 14.9374 20 0 90
317 10000000 100 120 10 20 15.9667 20 0 90
318 10000000 100 140 10 20 16.9138 20 0 90
319 10000000 100 160 10 20 17.4006 20 0 90
320 10000000 100 180 10 20 17.5199 20 0 90
321 10000000 120 -200 10 20 20.1121 20 0 90
322 10000000 120 -180 10 20 23.0278 20 0 90
323 10000000 120 -160 10 20 23.8543 20 0 90
324 10000000 120 -140 10 20 23.2235 20 0 90
325 10000000 120 -120 10 20 21.5775 20 0 90
326 10000000 120 -100 10 20 19.0543 20 0 90
327 10000000 120 -80 10 20 16.4217 20 0 90
328 10000000 120 -60 10 20 14.5465 20 0 90
329 10000000 120 -40 10 20 13.8331 20 0 90
330 10000000 120 -20 10 20 14.0103 20 0 90
331 10000000 120 0 10 20 14.3535 20 0 90
332 10000000 120 20 10 20 14.5331 20 0 90
333 10000000 120 40 10 20 14.6188 20 0 90
334 10000000 120 60 10 20 14.6439 20 0 90
335 10000000 120 80 10 20 14.8098 20 0 90
336 10000000 120 100 10 20 15.4991 20 0 90
337 10000000 120 120 10 20 16.6223 20 0 90
338 10000000 120 140 10 20 17.5842 20 0 90
339 10000000 120 160 10 20 18.0439 20 0 90
340 10000000 120 180 10 20 18.1136 20 0 90
341 10000000 140 -200 10 20 18.7251 20 0 90
342 10000000 140 -180 10 20 21.3673 20 0 90
343 10000000 140 -160 10 20 22.7189 20 0 90
344 10000000 140 -140 10 20 23.0648 20 0 90
345 10000000 140 -120 10 20 22.3429 20 0 90
346 10000000 140 -100 10 20 20.5518 20 0 90
347 10000000 140 -80 10 20 18.2749 20 0 90
348 10000000 140 -60 10 20 16.3678 20 0 90
349 10000000 140 -40 10 20 15.4197 20 0 90
350 10000000 140 -20 10 20 15.3949 20 0 90
351 10000000 140 0 10 20 15.6616 20 0 90
352 10000000 140 20 10 20 15.7945 20 0 90
353 10000000 140 40 10 20 15.855 20 0 90
354 10000000 140 60 10 20 15.7801 20 0 90
355 10000000 140 80 10 20 15.8023 20 0 90
356 10000000 140 100 10 20 16.2751 20 0 90
357 10000000 140 120 10 20 17.1796 20 0 90
358 10000000 140 140 10 20 18.0419 20 0 90
359 10000000 140 160 10 20 18.516 20 0 90
360 10000000 140 180 10 20 18.5962 20 0 90
361 10000000 160 -200 10 20 19.6792 20 0 90
362 10000000 160 -180 10 20 22.1202 20 0 90
363 10000000 160 -160 10 20 24.1466 20 0 90
364 10000000 160 -140 10 20 24.8839 20 0 90
365 10000000 160 -120 10 20 23.9566 20 0 90
366 10000000 160 -100 10 20 21.8586 20 0 90
367 10000000 160 -80 10 20 19.4819 20 0 90
368 10000000 160 -60 10 20 17.6509 20 0 90
369 10000000 160 -40 10 20 16.7805 20 0 90
370 10000000 160 -20 10 20 16.6725 20 0 90
371 10000000 160 0 10 20 16.7559 20 0 90
372 10000000 160 20 10 20 16.8242 20 0 90
373 10000000 160 40 10 20 16.8386 20 0 90
374 10000000 160 60 10 20 16.7134 20 0 90
375 10000000 160 80 10 20 16.6045 20 0 90
376 10000000 160 100 10 20 16.821 20 0 90
377 10000000 160 120 10 20 17.4178 20 0 90
378 10000000 160 140 10 20 18.0633 20 0 90
379 10000000 160 160 10 20 18.4611 20 0 90
380 10000000 160 180 10 20 18.56 20 0 90
381 10000000 180 -200 10 20 22.5235 20 0 90
382 10000000 180 -180 10 20 24.3074 20 0 90
383 10000000 180 -160 10 20 26.3113 20 0 90
384 10000000 180 -140 10 20 26.6743 20 0 90
385 10000000 180 -120 10 20 24.9541 20 0 90
386 10000000 180 -100 10 20 22.1723 20 0 90
387 10000000 180 -80 10 20 19.3219 20 0 90
388 10000000 180 -60 10 20 17.5024 20 0 90
389 10000000 180 -40 10 20 16.8148 20 0 90
390 10000000 180 -20 10 20 16.8571 20 0 90
391 10000000 180 0 10 20 17.0153 20 0 90
392 10000000 180 20 10 20 17.1223 20 0 90
393 10000000 180 40 10 20 17.182 20 0 90
394 10000000 180 60 10 20 17.1299 20 0 90
395 10000000 180 80 10 20 17.053 20 0 90
396 10000000 180 100 10 20 17.1538 20 0 90
397 10000000 180 120 10 20 17.4617 20 0 90
398 10000000 180 140 10 20 17.8283 20 0 90
399 10000000 180 160 10 20 18.0928 20 0 90
400 10000000 180 180 10 20 18.1983 20 0 90
