# created in copost_inversion_constraint.m in /Users/sbarbot/Documents/work/eqcycle/matlab
# created in copost_inversion_constraint, line 603
# i   v(m/yr)     n(km)     e(km) depth length width strike   dip  rake
135  7.58e-02  1.93e+01 -1.44e+01  2.00    2.0   2.0  -37.6  90.0   1.0
136  2.57e-03  2.09e+01 -1.57e+01  2.00    2.0   2.0  -37.6  90.0   1.0
137  0.00e+00  2.25e+01 -1.69e+01  2.00    2.0   2.0  -37.6  90.0   1.0
138  0.00e+00  2.41e+01 -1.81e+01  2.00    2.0   2.0  -37.6  90.0   1.0
139  0.00e+00  2.57e+01 -1.93e+01  2.00    2.0   2.0  -37.6  90.0   1.0
140  0.00e+00  2.72e+01 -2.05e+01  2.00    2.0   2.0  -37.6  90.0   1.0
141  6.21e-02 -2.86e+00  2.65e+00  0.00    2.0   2.0  -37.6  90.0   1.0
142  0.00e+00 -1.28e+00  1.43e+00  0.00    2.0   2.0  -37.6  90.0   1.0
143  0.00e+00  3.09e-01  2.09e-01  0.00    2.0   2.0  -37.6  90.0   1.0
144  0.00e+00  1.89e+00 -1.01e+00  0.00    2.0   2.0  -37.6  90.0   1.0
145  0.00e+00  3.48e+00 -2.23e+00  0.00    2.0   2.0  -37.6  90.0   1.0
146  0.00e+00  5.06e+00 -3.45e+00  0.00    2.0   2.0  -37.6  90.0   1.0
147  1.26e-01  6.65e+00 -4.67e+00  0.00    2.0   2.0  -37.6  90.0   1.0
148  2.44e-02  8.23e+00 -5.89e+00  0.00    2.0   2.0  -37.6  90.0   1.0
149  1.11e-01  9.82e+00 -7.11e+00  0.00    2.0   2.0  -37.6  90.0   1.0
150  0.00e+00  1.14e+01 -8.33e+00  0.00    2.0   2.0  -37.6  90.0   1.0
151  1.45e-01  1.30e+01 -9.55e+00  0.00    2.0   2.0  -37.6  90.0   1.0
152  1.87e-02  1.46e+01 -1.08e+01  0.00    2.0   2.0  -37.6  90.0   1.0
153  0.00e+00  1.62e+01 -1.20e+01  0.00    2.0   2.0  -37.6  90.0   1.0
154  0.00e+00  1.77e+01 -1.32e+01  0.00    2.0   2.0  -37.6  90.0   1.0
155  0.00e+00  1.93e+01 -1.44e+01  0.00    2.0   2.0  -37.6  90.0   1.0
156  0.00e+00  2.09e+01 -1.57e+01  0.00    2.0   2.0  -37.6  90.0   1.0
157  0.00e+00  2.25e+01 -1.69e+01  0.00    2.0   2.0  -37.6  90.0   1.0
158  0.00e+00  2.41e+01 -1.81e+01  0.00    2.0   2.0  -37.6  90.0   1.0
159  0.00e+00  2.57e+01 -1.93e+01  0.00    2.0   2.0  -37.6  90.0   1.0
160  0.00e+00  2.72e+01 -2.05e+01  0.00    2.0   2.0  -37.6  90.0   1.0
