# created in copost_inversion_constraint.m in /Users/sbarbot/Documents/work/eqcycle/matlab
# created in copost_inversion_constraint, line 602
# i   v(m/yr)     n(km)     e(km) depth length width strike   dip  rake
104  1.99e-01  1.89e+00 -1.01e+00  9.00    2.0   1.0  -37.6  90.0   1.0
105  1.16e-01  3.48e+00 -2.23e+00  9.00    2.0   1.0  -37.6  90.0   1.0
106  1.51e-02  5.06e+00 -3.45e+00  9.00    2.0   1.0  -37.6  90.0   1.0
107  3.21e-02  6.65e+00 -4.67e+00  9.00    2.0   1.0  -37.6  90.0   1.0
108  2.02e-01  8.23e+00 -5.89e+00  9.00    2.0   1.0  -37.6  90.0   1.0
109  4.13e-01  9.82e+00 -7.11e+00  9.00    2.0   1.0  -37.6  90.0   1.0
110  5.38e-01  1.14e+01 -8.33e+00  9.00    2.0   1.0  -37.6  90.0   1.0
111  5.01e-01  1.30e+01 -9.55e+00  9.00    2.0   1.0  -37.6  90.0   1.0
112  3.23e-01  1.46e+01 -1.08e+01  9.00    2.0   1.0  -37.6  90.0   1.0
113  1.29e-01  1.62e+01 -1.20e+01  9.00    2.0   1.0  -37.6  90.0   1.0
114  7.57e-03  1.77e+01 -1.32e+01  9.00    2.0   1.0  -37.6  90.0   1.0
115  0.00e+00  1.93e+01 -1.44e+01  9.00    2.0   1.0  -37.6  90.0   1.0
116  0.00e+00  2.09e+01 -1.57e+01  9.00    2.0   1.0  -37.6  90.0   1.0
117  0.00e+00  2.25e+01 -1.69e+01  9.00    2.0   1.0  -37.6  90.0   1.0
118  0.00e+00  2.41e+01 -1.81e+01  9.00    2.0   1.0  -37.6  90.0   1.0
119  0.00e+00  2.57e+01 -1.93e+01  9.00    2.0   1.0  -37.6  90.0   1.0
120  0.00e+00  2.72e+01 -2.05e+01  9.00    2.0   1.0  -37.6  90.0   1.0
121  1.40e-01 -2.86e+00  2.65e+00  8.00    2.0   1.0  -37.6  90.0   1.0
122  2.17e-01 -1.28e+00  1.43e+00  8.00    2.0   1.0  -37.6  90.0   1.0
123  2.87e-01  3.09e-01  2.09e-01  8.00    2.0   1.0  -37.6  90.0   1.0
124  3.15e-01  1.89e+00 -1.01e+00  8.00    2.0   1.0  -37.6  90.0   1.0
125  2.47e-01  3.48e+00 -2.23e+00  8.00    2.0   1.0  -37.6  90.0   1.0
126  1.08e-01  5.06e+00 -3.45e+00  8.00    2.0   1.0  -37.6  90.0   1.0
127  1.35e-01  6.65e+00 -4.67e+00  8.00    2.0   1.0  -37.6  90.0   1.0
128  3.55e-01  8.23e+00 -5.89e+00  8.00    2.0   1.0  -37.6  90.0   1.0
129  5.61e-01  9.82e+00 -7.11e+00  8.00    2.0   1.0  -37.6  90.0   1.0
130  6.56e-01  1.14e+01 -8.33e+00  8.00    2.0   1.0  -37.6  90.0   1.0
