# nb. dgammadot0 x1 x2 x3 length width thickness strike dip
182 0.4 -20 -180 10 20 17.7543 20 0 90
183 0.4 -20 -160 10 20 19.4516 20 0 90
184 0.4 -20 -140 10 20 20.9809 20 0 90
185 0.4 -20 -120 10 20 22.6575 20 0 90
186 0.4 -20 -100 10 20 23.93 20 0 90
187 0.4 -20 -80 10 20 23.5754 20 0 90
188 0.4 -20 -60 10 20 21.5001 20 0 90
189 0.4 -20 -40 10 20 18.6562 20 0 90
190 0.4 -20 -20 10 20 16.0279 20 0 90
191 0.4 -20 0 10 20 14.1232 20 0 90
192 0.4 -20 20 10 20 12.9629 20 0 90
193 0.4 -20 40 10 20 12.3465 20 0 90
194 0.4 -20 60 10 20 12.1536 20 0 90
195 0.4 -20 80 10 20 12.3125 20 0 90
196 0.4 -20 100 10 20 12.7941 20 0 90
197 0.4 -20 120 10 20 13.4317 20 0 90
198 0.4 -20 140 10 20 13.9916 20 0 90
199 0.4 -20 160 10 20 14.4369 20 0 90
200 0.4 -20 180 10 20 14.8449 20 0 90
201 0.4 0 -200 10 20 16.4402 20 0 90
202 0.4 0 -180 10 20 18.1928 20 0 90
203 0.4 0 -160 10 20 19.9647 20 0 90
204 0.4 0 -140 10 20 21.6981 20 0 90
205 0.4 0 -120 10 20 24.1004 20 0 90
206 0.4 0 -100 10 20 26.0216 20 0 90
207 0.4 0 -80 10 20 25.7308 20 0 90
208 0.4 0 -60 10 20 23.2535 20 0 90
209 0.4 0 -40 10 20 19.5974 20 0 90
210 0.4 0 -20 10 20 15.9356 20 0 90
211 0.4 0 0 10 20 13.4349 20 0 90
212 0.4 0 20 10 20 12.3472 20 0 90
213 0.4 0 40 10 20 12.082 20 0 90
214 0.4 0 60 10 20 12.1661 20 0 90
215 0.4 0 80 10 20 12.4666 20 0 90
216 0.4 0 100 10 20 13.0674 20 0 90
217 0.4 0 120 10 20 13.8128 20 0 90
218 0.4 0 140 10 20 14.3401 20 0 90
219 0.4 0 160 10 20 14.68 20 0 90
220 0.4 0 180 10 20 15.0133 20 0 90
221 0.4 20 -200 10 20 16.3192 20 0 90
222 0.4 20 -180 10 20 18.3446 20 0 90
223 0.4 20 -160 10 20 20.5733 20 0 90
224 0.4 20 -140 10 20 22.759 20 0 90
225 0.4 20 -120 10 20 24.7748 20 0 90
226 0.4 20 -100 10 20 25.4066 20 0 90
227 0.4 20 -80 10 20 24.2368 20 0 90
228 0.4 20 -60 10 20 21.947 20 0 90
229 0.4 20 -40 10 20 18.9059 20 0 90
230 0.4 20 -20 10 20 15.4646 20 0 90
231 0.4 20 0 10 20 12.9269 20 0 90
232 0.4 20 20 10 20 12.0384 20 0 90
233 0.4 20 40 10 20 12.2801 20 0 90
234 0.4 20 60 10 20 12.7399 20 0 90
235 0.4 20 80 10 20 13.0885 20 0 90
236 0.4 20 100 10 20 13.59 20 0 90
237 0.4 20 120 10 20 14.3041 20 0 90
238 0.4 20 140 10 20 14.8339 20 0 90
239 0.4 20 160 10 20 15.0511 20 0 90
240 0.4 20 180 10 20 15.2347 20 0 90
241 0.4 40 -200 10 20 15.6634 20 0 90
242 0.4 40 -180 10 20 18.4742 20 0 90
243 0.4 40 -160 10 20 21.668 20 0 90
244 0.4 40 -140 10 20 23.8331 20 0 90
245 0.4 40 -120 10 20 24.2717 20 0 90
246 0.4 40 -100 10 20 22.3232 20 0 90
247 0.4 40 -80 10 20 19.5668 20 0 90
248 0.4 40 -60 10 20 17.7376 20 0 90
249 0.4 40 -40 10 20 16.3296 20 0 90
250 0.4 40 -20 10 20 14.3465 20 0 90
251 0.4 40 0 10 20 12.6077 20 0 90
252 0.4 40 20 10 20 12.2369 20 0 90
253 0.4 40 40 10 20 13.0054 20 0 90
254 0.4 40 60 10 20 13.7865 20 0 90
255 0.4 40 80 10 20 14.0413 20 0 90
256 0.4 40 100 10 20 14.2354 20 0 90
257 0.4 40 120 10 20 14.776 20 0 90
258 0.4 40 140 10 20 15.3284 20 0 90
259 0.4 40 160 10 20 15.6102 20 0 90
260 0.4 40 180 10 20 15.7655 20 0 90
261 0.4 60 -200 10 20 15.8291 20 0 90
262 0.4 60 -180 10 20 19.7454 20 0 90
263 0.4 60 -160 10 20 23.5599 20 0 90
264 0.4 60 -140 10 20 25.1582 20 0 90
265 0.4 60 -120 10 20 23.3764 20 0 90
266 0.4 60 -100 10 20 19.0198 20 0 90
267 0.4 60 -80 10 20 15.0267 20 0 90
268 0.4 60 -60 10 20 13.7019 20 0 90
269 0.4 60 -40 10 20 13.7478 20 0 90
270 0.4 60 -20 10 20 13.3501 20 0 90
271 0.4 60 0 10 20 12.5593 20 0 90
272 0.4 60 20 10 20 12.5494 20 0 90
273 0.4 60 40 10 20 13.4934 20 0 90
274 0.4 60 60 10 20 14.3424 20 0 90
275 0.4 60 80 10 20 14.5339 20 0 90
276 0.4 60 100 10 20 14.635 20 0 90
277 0.4 60 120 10 20 15.1596 20 0 90
278 0.4 60 140 10 20 15.8217 20 0 90
279 0.4 60 160 10 20 16.2532 20 0 90
280 0.4 60 180 10 20 16.4363 20 0 90
281 0.4 80 -200 10 20 17.8243 20 0 90
282 0.4 80 -180 10 20 22.3343 20 0 90
283 0.4 80 -160 10 20 25.4789 20 0 90
284 0.4 80 -140 10 20 25.8745 20 0 90
285 0.4 80 -120 10 20 23.0371 20 0 90
286 0.4 80 -100 10 20 18.0622 20 0 90
287 0.4 80 -80 10 20 13.8493 20 0 90
288 0.4 80 -60 10 20 12.3762 20 0 90
289 0.4 80 -40 10 20 12.6493 20 0 90
290 0.4 80 -20 10 20 12.9383 20 0 90
291 0.4 80 0 10 20 12.7874 20 0 90
292 0.4 80 20 10 20 12.8939 20 0 90
293 0.4 80 40 10 20 13.5575 20 0 90
294 0.4 80 60 10 20 14.188 20 0 90
295 0.4 80 80 10 20 14.4169 20 0 90
296 0.4 80 100 10 20 14.7903 20 0 90
297 0.4 80 120 10 20 15.5454 20 0 90
298 0.4 80 140 10 20 16.3232 20 0 90
299 0.4 80 160 10 20 16.8442 20 0 90
300 0.4 80 180 10 20 17.0166 20 0 90
301 0.4 100 -200 10 20 20.106 20 0 90
302 0.4 100 -180 10 20 23.9644 20 0 90
303 0.4 100 -160 10 20 25.6299 20 0 90
304 0.4 100 -140 10 20 25.0032 20 0 90
305 0.4 100 -120 10 20 22.3075 20 0 90
306 0.4 100 -100 10 20 18.299 20 0 90
307 0.4 100 -80 10 20 14.846 20 0 90
308 0.4 100 -60 10 20 13.1411 20 0 90
309 0.4 100 -40 10 20 12.91 20 0 90
310 0.4 100 -20 10 20 13.2081 20 0 90
311 0.4 100 0 10 20 13.3669 20 0 90
312 0.4 100 20 10 20 13.5236 20 0 90
313 0.4 100 40 10 20 13.844 20 0 90
314 0.4 100 60 10 20 14.0868 20 0 90
315 0.4 100 80 10 20 14.3115 20 0 90
316 0.4 100 100 10 20 14.9374 20 0 90
317 0.4 100 120 10 20 15.9667 20 0 90
318 0.4 100 140 10 20 16.9138 20 0 90
319 0.4 100 160 10 20 17.4006 20 0 90
320 0.4 100 180 10 20 17.5199 20 0 90
321 0.4 120 -200 10 20 20.1121 20 0 90
322 0.4 120 -180 10 20 23.0278 20 0 90
323 0.4 120 -160 10 20 23.8543 20 0 90
324 0.4 120 -140 10 20 23.2235 20 0 90
325 0.4 120 -120 10 20 21.5775 20 0 90
326 0.4 120 -100 10 20 19.0543 20 0 90
327 0.4 120 -80 10 20 16.4217 20 0 90
328 0.4 120 -60 10 20 14.5465 20 0 90
329 0.4 120 -40 10 20 13.8331 20 0 90
